Year,Series,Water type,Geography (HydroBASINs ID),Units,Observation status,Unit multiplier,Value
1987-1991,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1985-1989,Open water area,Ephemeral,2060049660 (Severn),% change from baseline,Normal value,Units,-28.81847338
1986-1990,Open water area,Ephemeral,2060049660 (Severn),% change from baseline,Normal value,Units,-18.64528544
1998-2002,Open water area,Ephemeral,2060049660 (Severn),% change from baseline,Normal value,Units,-2.034637588
1999-2003,Open water area,Ephemeral,2060049660 (Severn),% change from baseline,Normal value,Units,-4.605516357
2009-2013,Open water area,Ephemeral,2060049660 (Severn),% change from baseline,Normal value,Units,-5.967928159
2010-2014,Open water area,Ephemeral,2060049660 (Severn),% change from baseline,Normal value,Units,-3.848620911
2011-2015,Open water area,Ephemeral,2060049660 (Severn),% change from baseline,Normal value,Units,-14.23989737
2012-2016,Open water area,Ephemeral,2060049660 (Severn),% change from baseline,Normal value,Units,-23.23284157
2013-2017,Open water area,Ephemeral,2060049660 (Severn),% change from baseline,Normal value,Units,-33.40089801
2014-2018,Open water area,Ephemeral,2060049660 (Severn),% change from baseline,Normal value,Units,-33.23925593
2015-2019,Open water area,Ephemeral,2060049660 (Severn),% change from baseline,Normal value,Units,-36.22322001
2016-2020,Open water area,Ephemeral,2060049660 (Severn),% change from baseline,Normal value,Units,-38.79409878
2017-2021,Open water area,Ephemeral,2060049660 (Severn),% change from baseline,Normal value,Units,-36.40025657
1984-1988,Open water area,Seasonal,2060049660 (Severn),% change from baseline,Normal value,Units,144.7358965
1985-1989,Open water area,Seasonal,2060049660 (Severn),% change from baseline,Normal value,Units,190.2191879
1986-1990,Open water area,Seasonal,2060049660 (Severn),% change from baseline,Normal value,Units,192.9284944
1998-2002,Open water area,Seasonal,2060049660 (Severn),% change from baseline,Normal value,Units,10.28386633
1999-2003,Open water area,Seasonal,2060049660 (Severn),% change from baseline,Normal value,Units,24.85088034
2009-2013,Open water area,Seasonal,2060049660 (Severn),% change from baseline,Normal value,Units,61.82536831
2010-2014,Open water area,Seasonal,2060049660 (Severn),% change from baseline,Normal value,Units,101.4732303
2011-2015,Open water area,Seasonal,2060049660 (Severn),% change from baseline,Normal value,Units,119.1448078
2012-2016,Open water area,Seasonal,2060049660 (Severn),% change from baseline,Normal value,Units,156.8738771
2013-2017,Open water area,Seasonal,2060049660 (Severn),% change from baseline,Normal value,Units,210.9306504
2014-2018,Open water area,Seasonal,2060049660 (Severn),% change from baseline,Normal value,Units,211.3115343
2015-2019,Open water area,Seasonal,2060049660 (Severn),% change from baseline,Normal value,Units,236.1192957
2016-2020,Open water area,Seasonal,2060049660 (Severn),% change from baseline,Normal value,Units,269.6298958
2017-2021,Open water area,Seasonal,2060049660 (Severn),% change from baseline,Normal value,Units,298.4764642
1984-1988,Open water area,Permanent,2060049660 (Severn),% change from baseline,Normal value,Units,-8.541787188
1985-1989,Open water area,Permanent,2060049660 (Severn),% change from baseline,Normal value,Units,-8.747734197
1986-1990,Open water area,Permanent,2060049660 (Severn),% change from baseline,Normal value,Units,-11.52223379
1998-2002,Open water area,Permanent,2060049660 (Severn),% change from baseline,Normal value,Units,-11.52686181
1999-2003,Open water area,Permanent,2060049660 (Severn),% change from baseline,Normal value,Units,-5.534343785
2009-2013,Open water area,Permanent,2060049660 (Severn),% change from baseline,Normal value,Units,-5.082340237
2010-2014,Open water area,Permanent,2060049660 (Severn),% change from baseline,Normal value,Units,-1.609780555
2011-2015,Open water area,Permanent,2060049660 (Severn),% change from baseline,Normal value,Units,1.666088164
2012-2016,Open water area,Permanent,2060049660 (Severn),% change from baseline,Normal value,Units,1.769447337
2013-2017,Open water area,Permanent,2060049660 (Severn),% change from baseline,Normal value,Units,3.782637202
2014-2018,Open water area,Permanent,2060049660 (Severn),% change from baseline,Normal value,Units,4.455243164
2015-2019,Open water area,Permanent,2060049660 (Severn),% change from baseline,Normal value,Units,3.762582437
2016-2020,Open water area,Permanent,2060049660 (Severn),% change from baseline,Normal value,Units,3.308264877
2017-2021,Open water area,Permanent,2060049660 (Severn),% change from baseline,Normal value,Units,3.789579236
2001-2005 (baseline),Open water area,Ephemeral,2060049660 (Severn),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Seasonal,2060049660 (Severn),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Permanent,2060049660 (Severn),% change from baseline,Normal value,Units,0.0
1984-1988,Open water area,Ephemeral,2060049670 (South East Wye),% change from baseline,Normal value,Units,78.25136612
1985-1989,Open water area,Ephemeral,2060049670 (South East Wye),% change from baseline,Normal value,Units,80.21857923
1986-1990,Open water area,Ephemeral,2060049670 (South East Wye),% change from baseline,Normal value,Units,79.23497268
1998-2002,Open water area,Ephemeral,2060049670 (South East Wye),% change from baseline,Normal value,Units,19.67213115
1999-2003,Open water area,Ephemeral,2060049670 (South East Wye),% change from baseline,Normal value,Units,2.62295082
2009-2013,Open water area,Ephemeral,2060049670 (South East Wye),% change from baseline,Normal value,Units,-50.05464481
2010-2014,Open water area,Ephemeral,2060049670 (South East Wye),% change from baseline,Normal value,Units,-45.35519126
2011-2015,Open water area,Ephemeral,2060049670 (South East Wye),% change from baseline,Normal value,Units,-42.29508197
2012-2016,Open water area,Ephemeral,2060049670 (South East Wye),% change from baseline,Normal value,Units,-42.62295082
2013-2017,Open water area,Ephemeral,2060049670 (South East Wye),% change from baseline,Normal value,Units,-51.47540984
2014-2018,Open water area,Ephemeral,2060049670 (South East Wye),% change from baseline,Normal value,Units,-47.75956284
2015-2019,Open water area,Ephemeral,2060049670 (South East Wye),% change from baseline,Normal value,Units,-44.04371585
2016-2020,Open water area,Ephemeral,2060049670 (South East Wye),% change from baseline,Normal value,Units,-47.65027322
2017-2021,Open water area,Ephemeral,2060049670 (South East Wye),% change from baseline,Normal value,Units,-49.18032787
1984-1988,Open water area,Seasonal,2060049670 (South East Wye),% change from baseline,Normal value,Units,207.7777778
1985-1989,Open water area,Seasonal,2060049670 (South East Wye),% change from baseline,Normal value,Units,246.6666667
1986-1990,Open water area,Seasonal,2060049670 (South East Wye),% change from baseline,Normal value,Units,280.0
1998-2002,Open water area,Seasonal,2060049670 (South East Wye),% change from baseline,Normal value,Units,70.0
1999-2003,Open water area,Seasonal,2060049670 (South East Wye),% change from baseline,Normal value,Units,91.11111111
2009-2013,Open water area,Seasonal,2060049670 (South East Wye),% change from baseline,Normal value,Units,293.3333333
2010-2014,Open water area,Seasonal,2060049670 (South East Wye),% change from baseline,Normal value,Units,551.1111111
2011-2015,Open water area,Seasonal,2060049670 (South East Wye),% change from baseline,Normal value,Units,623.3333333
2012-2016,Open water area,Seasonal,2060049670 (South East Wye),% change from baseline,Normal value,Units,823.3333333
2013-2017,Open water area,Seasonal,2060049670 (South East Wye),% change from baseline,Normal value,Units,1088.888889
2014-2018,Open water area,Seasonal,2060049670 (South East Wye),% change from baseline,Normal value,Units,1217.777778
2015-2019,Open water area,Seasonal,2060049670 (South East Wye),% change from baseline,Normal value,Units,1276.666667
2016-2020,Open water area,Seasonal,2060049670 (South East Wye),% change from baseline,Normal value,Units,1413.333333
2017-2021,Open water area,Seasonal,2060049670 (South East Wye),% change from baseline,Normal value,Units,1538.888889
1984-1988,Open water area,Permanent,2060049670 (South East Wye),% change from baseline,Normal value,Units,-69.05882353
1985-1989,Open water area,Permanent,2060049670 (South East Wye),% change from baseline,Normal value,Units,-67.64705882
1986-1990,Open water area,Permanent,2060049670 (South East Wye),% change from baseline,Normal value,Units,-64.58823529
1998-2002,Open water area,Permanent,2060049670 (South East Wye),% change from baseline,Normal value,Units,-44.82352941
1999-2003,Open water area,Permanent,2060049670 (South East Wye),% change from baseline,Normal value,Units,-26.0
2009-2013,Open water area,Permanent,2060049670 (South East Wye),% change from baseline,Normal value,Units,42.11764706
2010-2014,Open water area,Permanent,2060049670 (South East Wye),% change from baseline,Normal value,Units,73.76470588
2011-2015,Open water area,Permanent,2060049670 (South East Wye),% change from baseline,Normal value,Units,90.35294118
