Year,Series,Sex,Age,Country,Region,Socio-economic classification,Ethnicity,Country of birth,Units,Unit multiplier,Observation status,GeoCode,Value
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,10.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,10.4
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,10.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,10.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,10.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,11.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,12.9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,13.0
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,13.1
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,13.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,14.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,16.0
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,15.4
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,16.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,16.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,17.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,19.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,20.3
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,21.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,21.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,23.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,10.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,11.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,17.0
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,13.0
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.0
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,16.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.9
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,18.3
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,17.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,18.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,18.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,18.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.0
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,16.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,22.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,24.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,25.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,26.0
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,23.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,23.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,20.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,14.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,12.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,13.9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,16.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,16.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,20.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.0
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,20.0
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,20.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,14.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,17.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,17.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,18.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,21.0
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,21.4
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,21.0
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,16.4
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,18.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,16.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,16.0
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.0
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,18.7
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,18.0
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,20.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,19.4
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,21.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,9.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Northern Ireland,,,,,Percentage (%),Units,Normal value,N92000002,8.9
