Year,Region,Local authority,Age,Main method of contraception,Type of contraception,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2020/21,West Midlands,Warwickshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.045
2020/21,West Midlands,Wolverhampton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.03
2020/21,West Midlands,Worcestershire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.04
2020/21,East of England,Bedford,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.02
2020/21,East of England,Cambridgeshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.035
2020/21,East of England,Central Bedfordshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.02
2020/21,East of England,Essex,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.185
2020/21,East of England,Hertfordshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.095
2020/21,East of England,Luton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.04
2020/21,East of England,Norfolk,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.12
2020/21,East of England,Peterborough,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.045
2020/21,East of England,Suffolk,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.09
2020/21,East of England,Thurrock,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.035
2020/21,London,Barking and Dagenham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.045
2020/21,London,Barnet,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.115
2020/21,London,Bexley,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.03
2020/21,London,Brent,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.155
2020/21,London,Bromley,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.025
2020/21,London,Camden,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.1
2020/21,London,Croydon,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.145
2020/21,London,Ealing,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.185
2020/21,London,Enfield,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.03
2020/21,London,Greenwich,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.135
2020/21,London,Hackney,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.04
2020/21,London,Hammersmith and Fulham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.075
2020/21,London,Haringey,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.085
2020/21,London,Harrow,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.125
2020/21,London,Havering,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.03
2020/21,London,Hillingdon,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.115
2020/21,London,Hounslow,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.055
2020/21,London,Islington,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.095
2020/21,London,Kensington and Chelsea,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.035
2020/21,London,Kingston upon Thames,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.065
2020/21,London,Lambeth,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.1
2020/21,London,Lewisham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.25
2020/21,London,Merton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.055
2020/21,London,Newham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.155
2020/21,London,Redbridge,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.045
2020/21,London,Richmond upon Thames,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.02
2020/21,London,Southwark,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.13
2020/21,London,Sutton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.015
2020/21,London,Tower Hamlets,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.095
2020/21,London,Waltham Forest,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.085
2020/21,London,Wandsworth,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.09
2020/21,London,Westminster,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,0.05
2020/21,South East,Bracknell Forest,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.01
2020/21,South East,Brighton and Hove,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.11
2020/21,South East,Buckinghamshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.01
2020/21,South East,East Sussex,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.075
2020/21,South East,Hampshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.05
2020/21,South East,Isle of Wight,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.015
2020/21,South East,Kent,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.135
2020/21,South East,Medway,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.04
2020/21,South East,Milton Keynes,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.045
2020/21,South East,Oxfordshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.1
2020/21,South East,Reading,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.025
2020/21,South East,Slough,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.015
2020/21,South East,Southampton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.01
2020/21,South East,Surrey,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.055
2020/21,South East,West Sussex,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.13
2020/21,South East,Wokingham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.01
2020/21,South West,"Bournemouth, Christchurch and Poole",,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.04
2020/21,South West,"Bristol, City of",,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.01
2020/21,South West,Cornwall,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.045
2020/21,South West,Devon,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.05
2020/21,South West,Dorset,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.04
2020/21,South West,Gloucestershire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.01
2020/21,South West,Plymouth,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.065
2020/21,South West,Somerset,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.065
2020/21,South West,Swindon,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.04
2020/21,South West,Torbay,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.03
2020/21,South West,Wiltshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.03
2021/22,,,15 and under,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.223
2021/22,,,16 to 17,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.755
2021/22,,,18 to 19,User dependent,Contraceptive patch,Normal value,Thousands,Number,,1.057
2021/22,,,20 to 24,User dependent,Contraceptive patch,Normal value,Thousands,Number,,2.816
2021/22,,,25 to 34,User dependent,Contraceptive patch,Normal value,Thousands,Number,,2.737
2021/22,,,35 to 44,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.574
2021/22,,,45 and over,User dependent,Contraceptive patch,Normal value,Thousands,Number,,0.048
2021/22,,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,,8.21
2021/22,North East,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.18
2021/22,North West,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,1.14
2021/22,Yorkshire and The Humber,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.575
2021/22,East Midlands,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.53
2021/22,West Midlands,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000005,0.61
2021/22,East of England,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000006,0.63
2021/22,London,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000007,2.955
2021/22,South East,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000008,0.975
2021/22,South West,,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000009,0.46
2021/22,North East,County Durham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.0
2021/22,North East,Darlington,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.0
2021/22,North East,Gateshead,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.01
2021/22,North East,Middlesbrough,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.01
2021/22,North East,Newcastle upon Tyne,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.04
2021/22,North East,North Tyneside,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.02
2021/22,North East,Northumberland,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.03
2021/22,North East,Redcar and Cleveland,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.015
2021/22,North East,South Tyneside,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.02
2021/22,North East,Sunderland,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000001,0.03
2021/22,North West,Blackpool,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.08
2021/22,North West,Cheshire East,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.065
2021/22,North West,Cheshire West and Chester,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.07
2021/22,North West,Cumbria,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.025
2021/22,North West,Halton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.02
2021/22,North West,Knowsley,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.045
2021/22,North West,Lancashire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.38
2021/22,North West,Liverpool,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.1
2021/22,North West,Manchester,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.01
2021/22,North West,Oldham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.02
2021/22,North West,Rochdale,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.025
2021/22,North West,Salford,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.015
2021/22,North West,Sefton,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.09
2021/22,North West,St. Helens,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.065
2021/22,North West,Stockport,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.01
2021/22,North West,Wigan,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.01
2021/22,North West,Wirral,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000002,0.095
2021/22,Yorkshire and The Humber,Barnsley,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.015
2021/22,Yorkshire and The Humber,Bradford,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.065
2021/22,Yorkshire and The Humber,Calderdale,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.04
2021/22,Yorkshire and The Humber,Doncaster,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.025
2021/22,Yorkshire and The Humber,East Riding of Yorkshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.04
2021/22,Yorkshire and The Humber,"Kingston upon Hull, City of",,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.065
2021/22,Yorkshire and The Humber,Kirklees,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.06
2021/22,Yorkshire and The Humber,Leeds,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.075
2021/22,Yorkshire and The Humber,North East Lincolnshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.03
2021/22,Yorkshire and The Humber,North Lincolnshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.045
2021/22,Yorkshire and The Humber,North Yorkshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.03
2021/22,Yorkshire and The Humber,Rotherham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.025
2021/22,Yorkshire and The Humber,Wakefield,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.025
2021/22,Yorkshire and The Humber,York,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000003,0.035
2021/22,East Midlands,Derby,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.045
2021/22,East Midlands,Derbyshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.105
2021/22,East Midlands,Leicester,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.04
2021/22,East Midlands,Leicestershire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.035
2021/22,East Midlands,Lincolnshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.01
2021/22,East Midlands,North Northamptonshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.01
2021/22,East Midlands,Nottingham,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.105
2021/22,East Midlands,Nottinghamshire,,User dependent,Contraceptive patch,Normal value,Thousands,Number,E12000004,0.14
