Year,Series,Educational measure,Education indicator,Observation status,Unit multiplier,Units,Value
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.64784
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.67554
2009,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.68202
2010,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.7208
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.86361
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.94284
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.82447
2016,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.60199
2017,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.81448
2007,Gender Parity Index (GPI),Participation rate in formal and non-formal education and training in the previous 12 months,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Normal value,Units,Ratio,1.07992
2011,Gender Parity Index (GPI),Participation rate in formal and non-formal education and training in the previous 12 months,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Normal value,Units,Ratio,1.11346
2016,Gender Parity Index (GPI),Participation rate in formal and non-formal education and training in the previous 12 months,Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months,Normal value,Units,Ratio,1.06865
2013,Adjusted Gender Parity Index (GPIA),Participation rate in organised learning,"Adjusted net enrolment rate, one year before the official primary entry age",Normal value,Units,Ratio,0.96637
2014,Adjusted Gender Parity Index (GPIA),Participation rate in organised learning,"Adjusted net enrolment rate, one year before the official primary entry age",Normal value,Units,Ratio,0.99817
2015,Adjusted Gender Parity Index (GPIA),Participation rate in organised learning,"Adjusted net enrolment rate, one year before the official primary entry age",Normal value,Units,Ratio,0.96102
2016,Adjusted Gender Parity Index (GPIA),Participation rate in organised learning,"Adjusted net enrolment rate, one year before the official primary entry age",Normal value,Units,Ratio,0.99714
2017,Adjusted Gender Parity Index (GPIA),Participation rate in organised learning,"Adjusted net enrolment rate, one year before the official primary entry age",Normal value,Units,Ratio,0.99862
2000,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,0.96924
2001,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,0.95695
2002,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,0.97421
2003,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,1.05761
2004,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,1.01268
2005,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,1.00931
2006,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,0.9971
2007,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,0.96191
2008,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,0.97403
2009,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,0.94981
2010,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,0.92457
2011,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,0.93202
2012,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,0.92454
2013,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,0.9076
2014,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,0.90255
2015,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,0.88103
2016,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,0.90912
2017,Gender Parity Index (GPI),Proportion of students,Proportion of 15-24 year-olds enrolled in vocational education,Normal value,Units,Ratio,0.88483
2003,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,Normal value,Units,Ratio,0.99201
2006,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,Normal value,Units,Ratio,0.96393
2009,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,Normal value,Units,Ratio,0.93674
2012,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,Normal value,Units,Ratio,0.94853
2015,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,Normal value,Units,Ratio,0.96707
2018,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in mathematics,Normal value,Units,Ratio,0.97413
2003,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in reading,Normal value,Units,Ratio,1.10016
2006,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in reading,Normal value,Units,Ratio,1.11675
2009,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in reading,Normal value,Units,Ratio,1.10593
2012,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in reading,Normal value,Units,Ratio,1.07285
2015,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in reading,Normal value,Units,Ratio,1.07634
2018,Gender Parity Index (GPI),Proportion of students,Proportion of students at the end of or during lower secondary achieving at least a minimum proficiency level in reading,Normal value,Units,Ratio,1.08002
2003,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,Normal value,Units,Ratio,0.91679
2006,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,Normal value,Units,Ratio,0.85231
2009,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,Normal value,Units,Ratio,0.89481
2012,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,Normal value,Units,Ratio,0.9072
2015,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,Normal value,Units,Ratio,1.0722
2018,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in mathematics,Normal value,Units,Ratio,0.95262
2003,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,Normal value,Units,Ratio,0.94521
2006,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,Normal value,Units,Ratio,0.92812
2009,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,Normal value,Units,Ratio,0.91508
2012,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,Normal value,Units,Ratio,0.94097
2015,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,Normal value,Units,Ratio,1.04792
2018,Immigration Parity Index,Proportion of students,Proportion of students at the end of or during lower secondary education achieving at least a minimum proficiency level in reading,Normal value,Units,Ratio,0.93279
