Year,Units,Local Authority,Deprivation decile,Unit multiplier,Unit measure,Value
2014/15,Met need (%),"Bristol, City of",,Units,Percentage (%),16.66159464
2015/16,Met need (%),"Bristol, City of",,Units,Percentage (%),18.68261704
2016/17,Met need (%),"Bristol, City of",,Units,Percentage (%),17.97633495
2017/18,Met need (%),"Bristol, City of",,Units,Percentage (%),16.69911637
2018/19,Met need (%),"Bristol, City of",,Units,Percentage (%),9.26646707
2010/11,Number of people in treatment,"Bristol, City of",,Units,Count,675
2011/12,Number of people in treatment,"Bristol, City of",,Units,Count,610
2012/13,Number of people in treatment,"Bristol, City of",,Units,Count,835
2013/14,Number of people in treatment,"Bristol, City of",,Units,Count,855
2014/15,Number of people in treatment,"Bristol, City of",,Units,Count,1095
2015/16,Number of people in treatment,"Bristol, City of",,Units,Count,1265
2016/17,Number of people in treatment,"Bristol, City of",,Units,Count,1185
2017/18,Number of people in treatment,"Bristol, City of",,Units,Count,1115
2018/19,Number of people in treatment,"Bristol, City of",,Units,Count,619
2018/19,Number of people in treatment,"Bristol, City of",,Units,Count,615
2010/11,Estimated prevalence,Bromley,,Units,Number,2513
2011/12,Estimated prevalence,Bromley,,Units,Number,2505
2012/13,Estimated prevalence,Bromley,,Units,Number,2498
2013/14,Estimated prevalence,Bromley,,Units,Number,2537
2014/15,Estimated prevalence,Bromley,,Units,Number,2528
2015/16,Estimated prevalence,Bromley,,Units,Number,2586
2016/17,Estimated prevalence,Bromley,,Units,Number,2519
2017/18,Estimated prevalence,Bromley,,Units,Number,2537
2018/19,Estimated prevalence,Bromley,,Units,Number,2547.333333
2010/11,Met need (%),Bromley,,Units,Percentage (%),21.48826104
2011/12,Met need (%),Bromley,,Units,Percentage (%),19.96007984
2012/13,Met need (%),Bromley,,Units,Percentage (%),17.01361089
2013/14,Met need (%),Bromley,,Units,Percentage (%),16.35790304
2014/15,Met need (%),Bromley,,Units,Percentage (%),12.65822785
2015/16,Met need (%),Bromley,,Units,Percentage (%),11.98762568
2016/17,Met need (%),Bromley,,Units,Percentage (%),11.90948789
2017/18,Met need (%),Bromley,,Units,Percentage (%),10.44540796
2018/19,Met need (%),Bromley,,Units,Percentage (%),10.44229259
2010/11,Number of people in treatment,Bromley,,Units,Count,540
2011/12,Number of people in treatment,Bromley,,Units,Count,500
2012/13,Number of people in treatment,Bromley,,Units,Count,425
2013/14,Number of people in treatment,Bromley,,Units,Count,415
2014/15,Number of people in treatment,Bromley,,Units,Count,320
2015/16,Number of people in treatment,Bromley,,Units,Count,310
2016/17,Number of people in treatment,Bromley,,Units,Count,300
2017/18,Number of people in treatment,Bromley,,Units,Count,265
2018/19,Number of people in treatment,Bromley,,Units,Count,266
2018/19,Number of people in treatment,Bromley,,Units,Count,265
2010/11,Estimated prevalence,Buckinghamshire,,Units,Number,3420
2011/12,Estimated prevalence,Buckinghamshire,,Units,Number,3411
2012/13,Estimated prevalence,Buckinghamshire,,Units,Number,3412
2013/14,Estimated prevalence,Buckinghamshire,,Units,Number,3452
2014/15,Estimated prevalence,Buckinghamshire,,Units,Number,3488
2015/16,Estimated prevalence,Buckinghamshire,,Units,Number,3451
2016/17,Estimated prevalence,Buckinghamshire,,Units,Number,3474
2017/18,Estimated prevalence,Buckinghamshire,,Units,Number,3473
2018/19,Estimated prevalence,Buckinghamshire,,Units,Number,3466
2010/11,Met need (%),Buckinghamshire,,Units,Percentage (%),15.05847953
2011/12,Met need (%),Buckinghamshire,,Units,Percentage (%),15.68454999
2012/13,Met need (%),Buckinghamshire,,Units,Percentage (%),13.33528722
2013/14,Met need (%),Buckinghamshire,,Units,Percentage (%),13.18076477
2014/15,Met need (%),Buckinghamshire,,Units,Percentage (%),15.19495413
2015/16,Met need (%),Buckinghamshire,,Units,Percentage (%),12.31527094
2016/17,Met need (%),Buckinghamshire,,Units,Percentage (%),11.65803109
2017/18,Met need (%),Buckinghamshire,,Units,Percentage (%),12.95709761
2018/19,Met need (%),Buckinghamshire,,Units,Percentage (%),15.78188113
2010/11,Number of people in treatment,Buckinghamshire,,Units,Count,515
2011/12,Number of people in treatment,Buckinghamshire,,Units,Count,535
2012/13,Number of people in treatment,Buckinghamshire,,Units,Count,455
2013/14,Number of people in treatment,Buckinghamshire,,Units,Count,455
2014/15,Number of people in treatment,Buckinghamshire,,Units,Count,530
2015/16,Number of people in treatment,Buckinghamshire,,Units,Count,425
2016/17,Number of people in treatment,Buckinghamshire,,Units,Count,405
2017/18,Number of people in treatment,Buckinghamshire,,Units,Count,450
2018/19,Number of people in treatment,Buckinghamshire,,Units,Count,547
2018/19,Number of people in treatment,Buckinghamshire,,Units,Count,545
2010/11,Estimated prevalence,Bury,,Units,Number,2104
2011/12,Estimated prevalence,Bury,,Units,Number,2104
2012/13,Estimated prevalence,Bury,,Units,Number,2096
2013/14,Estimated prevalence,Bury,,Units,Number,2160
2014/15,Estimated prevalence,Bury,,Units,Number,2147
2015/16,Estimated prevalence,Bury,,Units,Number,2022
2016/17,Estimated prevalence,Bury,,Units,Number,2031
2017/18,Estimated prevalence,Bury,,Units,Number,2152
2018/19,Estimated prevalence,Bury,,Units,Number,2068.333333
2010/11,Met need (%),Bury,,Units,Percentage (%),19.48669202
2011/12,Met need (%),Bury,,Units,Percentage (%),21.15019011
2012/13,Met need (%),Bury,,Units,Percentage (%),20.75381679
2013/14,Met need (%),Bury,,Units,Percentage (%),21.2962963
2014/15,Met need (%),Bury,,Units,Percentage (%),20.26082906
2015/16,Met need (%),Bury,,Units,Percentage (%),21.01879327
2016/17,Met need (%),Bury,,Units,Percentage (%),18.46381093
2017/18,Met need (%),Bury,,Units,Percentage (%),19.98141264
2018/19,Met need (%),Bury,,Units,Percentage (%),21.17647059
2010/11,Number of people in treatment,Bury,,Units,Count,410
2011/12,Number of people in treatment,Bury,,Units,Count,445
2012/13,Number of people in treatment,Bury,,Units,Count,435
2013/14,Number of people in treatment,Bury,,Units,Count,460
2014/15,Number of people in treatment,Bury,,Units,Count,435
2015/16,Number of people in treatment,Bury,,Units,Count,425
2016/17,Number of people in treatment,Bury,,Units,Count,375
2017/18,Number of people in treatment,Bury,,Units,Count,430
2018/19,Number of people in treatment,Bury,,Units,Count,438
2018/19,Number of people in treatment,Bury,,Units,Count,440
2010/11,Estimated prevalence,Calderdale,,Units,Number,2235
2011/12,Estimated prevalence,Calderdale,,Units,Number,2234
2012/13,Estimated prevalence,Calderdale,,Units,Number,2219
2013/14,Estimated prevalence,Calderdale,,Units,Number,2273
2014/15,Estimated prevalence,Calderdale,,Units,Number,2253
2015/16,Estimated prevalence,Calderdale,,Units,Number,2263
2016/17,Estimated prevalence,Calderdale,,Units,Number,2226
2017/18,Estimated prevalence,Calderdale,,Units,Number,2288
2018/19,Estimated prevalence,Calderdale,,Units,Number,2259
2010/11,Met need (%),Calderdale,,Units,Percentage (%),27.51677852
2011/12,Met need (%),Calderdale,,Units,Percentage (%),31.55774396
2012/13,Met need (%),Calderdale,,Units,Percentage (%),33.79900856
2013/14,Met need (%),Calderdale,,Units,Percentage (%),28.81654201
2014/15,Met need (%),Calderdale,,Units,Percentage (%),25.07767421
2015/16,Met need (%),Calderdale,,Units,Percentage (%),20.10605391
2016/17,Met need (%),Calderdale,,Units,Percentage (%),19.31716083
2017/18,Met need (%),Calderdale,,Units,Percentage (%),17.04545455
2018/19,Met need (%),Calderdale,,Units,Percentage (%),16.55599823
2010/11,Number of people in treatment,Calderdale,,Units,Count,615
2011/12,Number of people in treatment,Calderdale,,Units,Count,705
2012/13,Number of people in treatment,Calderdale,,Units,Count,750
2013/14,Number of people in treatment,Calderdale,,Units,Count,655
2014/15,Number of people in treatment,Calderdale,,Units,Count,565
2015/16,Number of people in treatment,Calderdale,,Units,Count,455
2016/17,Number of people in treatment,Calderdale,,Units,Count,430
2017/18,Number of people in treatment,Calderdale,,Units,Count,390
2018/19,Number of people in treatment,Calderdale,,Units,Count,374
2018/19,Number of people in treatment,Calderdale,,Units,Count,375
2010/11,Estimated prevalence,Cambridgeshire,,Units,Number,5494
2011/12,Estimated prevalence,Cambridgeshire,,Units,Number,5483
2012/13,Estimated prevalence,Cambridgeshire,,Units,Number,5488
2013/14,Estimated prevalence,Cambridgeshire,,Units,Number,5595
2014/15,Estimated prevalence,Cambridgeshire,,Units,Number,5578
2015/16,Estimated prevalence,Cambridgeshire,,Units,Number,5769
2016/17,Estimated prevalence,Cambridgeshire,,Units,Number,5610
2017/18,Estimated prevalence,Cambridgeshire,,Units,Number,5674
2018/19,Estimated prevalence,Cambridgeshire,,Units,Number,5684.333333
2010/11,Met need (%),Cambridgeshire,,Units,Percentage (%),16.29049873
2011/12,Met need (%),Cambridgeshire,,Units,Percentage (%),13.58745212
2012/13,Met need (%),Cambridgeshire,,Units,Percentage (%),12.02623907
2013/14,Met need (%),Cambridgeshire,,Units,Percentage (%),11.97497766
2014/15,Met need (%),Cambridgeshire,,Units,Percentage (%),17.83793474
2015/16,Met need (%),Cambridgeshire,,Units,Percentage (%),18.46073843
2016/17,Met need (%),Cambridgeshire,,Units,Percentage (%),19.34046346
2017/18,Met need (%),Cambridgeshire,,Units,Percentage (%),20.00352485
2018/19,Met need (%),Cambridgeshire,,Units,Percentage (%),17.8560957
2010/11,Number of people in treatment,Cambridgeshire,,Units,Count,895
2011/12,Number of people in treatment,Cambridgeshire,,Units,Count,745
2012/13,Number of people in treatment,Cambridgeshire,,Units,Count,660
2013/14,Number of people in treatment,Cambridgeshire,,Units,Count,670
2014/15,Number of people in treatment,Cambridgeshire,,Units,Count,995
2015/16,Number of people in treatment,Cambridgeshire,,Units,Count,1065
2016/17,Number of people in treatment,Cambridgeshire,,Units,Count,1085
2017/18,Number of people in treatment,Cambridgeshire,,Units,Count,1135
2018/19,Number of people in treatment,Cambridgeshire,,Units,Count,1015
2010/11,Estimated prevalence,Camden,,Units,Number,3195
2011/12,Estimated prevalence,Camden,,Units,Number,3187
2012/13,Estimated prevalence,Camden,,Units,Number,3171
2013/14,Estimated prevalence,Camden,,Units,Number,3297
2014/15,Estimated prevalence,Camden,,Units,Number,3277
2015/16,Estimated prevalence,Camden,,Units,Number,3189
2016/17,Estimated prevalence,Camden,,Units,Number,3054
2017/18,Estimated prevalence,Camden,,Units,Number,3261
2018/19,Estimated prevalence,Camden,,Units,Number,3168
2010/11,Met need (%),Camden,,Units,Percentage (%),22.37871674
2011/12,Met need (%),Camden,,Units,Percentage (%),22.90555381
2012/13,Met need (%),Camden,,Units,Percentage (%),25.2286345
2013/14,Met need (%),Camden,,Units,Percentage (%),25.78101304
2014/15,Met need (%),Camden,,Units,Percentage (%),22.58162954
2015/16,Met need (%),Camden,,Units,Percentage (%),23.20476638
2016/17,Met need (%),Camden,,Units,Percentage (%),21.77472168
2017/18,Met need (%),Camden,,Units,Percentage (%),17.93928243
2018/19,Met need (%),Camden,,Units,Percentage (%),19.82323232
2010/11,Number of people in treatment,Camden,,Units,Count,715
2011/12,Number of people in treatment,Camden,,Units,Count,730
2012/13,Number of people in treatment,Camden,,Units,Count,800
2013/14,Number of people in treatment,Camden,,Units,Count,850
2014/15,Number of people in treatment,Camden,,Units,Count,740
2015/16,Number of people in treatment,Camden,,Units,Count,740
2016/17,Number of people in treatment,Camden,,Units,Count,665
2017/18,Number of people in treatment,Camden,,Units,Count,585
2018/19,Number of people in treatment,Camden,,Units,Count,628
2018/19,Number of people in treatment,Camden,,Units,Count,630
2010/11,Estimated prevalence,Central Bedfordshire,,Units,Number,1930
2011/12,Estimated prevalence,Central Bedfordshire,,Units,Number,1930
2012/13,Estimated prevalence,Central Bedfordshire,,Units,Number,1937
2013/14,Estimated prevalence,Central Bedfordshire,,Units,Number,1953
2014/15,Estimated prevalence,Central Bedfordshire,,Units,Number,1966
2015/16,Estimated prevalence,Central Bedfordshire,,Units,Number,2054
2016/17,Estimated prevalence,Central Bedfordshire,,Units,Number,1993
2017/18,Estimated prevalence,Central Bedfordshire,,Units,Number,1942
2018/19,Estimated prevalence,Central Bedfordshire,,Units,Number,1996.333333
2012/13,Met need (%),Central Bedfordshire,,Units,Percentage (%),12.39029427
2013/14,Met need (%),Central Bedfordshire,,Units,Percentage (%),16.64106503
2014/15,Met need (%),Central Bedfordshire,,Units,Percentage (%),16.02238047
2015/16,Met need (%),Central Bedfordshire,,Units,Percentage (%),16.55306719
2016/17,Met need (%),Central Bedfordshire,,Units,Percentage (%),23.08078274
2017/18,Met need (%),Central Bedfordshire,,Units,Percentage (%),22.91452111
2018/19,Met need (%),Central Bedfordshire,,Units,Percentage (%),22.7416931
2012/13,Number of people in treatment,Central Bedfordshire,,Units,Count,240
2013/14,Number of people in treatment,Central Bedfordshire,,Units,Count,325
2014/15,Number of people in treatment,Central Bedfordshire,,Units,Count,315
2015/16,Number of people in treatment,Central Bedfordshire,,Units,Count,340
2016/17,Number of people in treatment,Central Bedfordshire,,Units,Count,460
2017/18,Number of people in treatment,Central Bedfordshire,,Units,Count,445
2018/19,Number of people in treatment,Central Bedfordshire,,Units,Count,454
2018/19,Number of people in treatment,Central Bedfordshire,,Units,Count,455
2010/11,Number of people in treatment,Cheshire (Discontinued),,Units,Count,1475
2011/12,Number of people in treatment,Cheshire (Discontinued),,Units,Count,1470
2012/13,Number of people in treatment,Cheshire (Discontinued),,Units,Count,20
2013/14,Number of people in treatment,Cheshire (Discontinued),,Units,Count,5
2014/15,Number of people in treatment,Cheshire (Discontinued),,Units,Count,10
2015/16,Number of people in treatment,Cheshire (Discontinued),,Units,Count,0
2016/17,Number of people in treatment,Cheshire (Discontinued),,Units,Count,0
2010/11,Estimated prevalence,Cheshire East,,Units,Number,3360
2011/12,Estimated prevalence,Cheshire East,,Units,Number,3358
2012/13,Estimated prevalence,Cheshire East,,Units,Number,3338
2013/14,Estimated prevalence,Cheshire East,,Units,Number,3421
2014/15,Estimated prevalence,Cheshire East,,Units,Number,3427
2015/16,Estimated prevalence,Cheshire East,,Units,Number,3636
2016/17,Estimated prevalence,Cheshire East,,Units,Number,3403
2017/18,Estimated prevalence,Cheshire East,,Units,Number,3412
2018/19,Estimated prevalence,Cheshire East,,Units,Number,3483.666667
2012/13,Met need (%),Cheshire East,,Units,Percentage (%),16.77651288
2013/14,Met need (%),Cheshire East,,Units,Percentage (%),16.80795089
2014/15,Met need (%),Cheshire East,,Units,Percentage (%),15.75722206
2015/16,Met need (%),Cheshire East,,Units,Percentage (%),10.72607261
2016/17,Met need (%),Cheshire East,,Units,Percentage (%),12.34205113
2017/18,Met need (%),Cheshire East,,Units,Percentage (%),10.25791325
2018/19,Met need (%),Cheshire East,,Units,Percentage (%),9.09960769
2012/13,Number of people in treatment,Cheshire East,,Units,Count,560
2013/14,Number of people in treatment,Cheshire East,,Units,Count,575
2014/15,Number of people in treatment,Cheshire East,,Units,Count,540
2015/16,Number of people in treatment,Cheshire East,,Units,Count,390
2016/17,Number of people in treatment,Cheshire East,,Units,Count,420
2017/18,Number of people in treatment,Cheshire East,,Units,Count,350
2018/19,Number of people in treatment,Cheshire East,,Units,Count,317
2018/19,Number of people in treatment,Cheshire East,,Units,Count,315
